Def	damage	
0	0.0105	
1	0.18494719416	
2	0.36144406172	
3	0.53989555815	
4	0.72020931396	
5	0.90229559896	
6	1.0860672868	
7	1.2714398194	
8	1.4583311722	
9	1.6466618185	
10	1.8363546955	
11	2.0273351688	
12	2.2195309987	
13	2.4128723056	
14	2.6072915357	
15	2.8027234279	
16	2.9991049792	
17	3.1963754118	
18	3.3944761396	
19	3.593350735	
20	3.792944896	
21	3.9932064135	
22	4.1940851386	
23	4.3955329503	
24	4.5975037233	
25	4.7999532959	
26	5.0028394381	
27	5.2061218203	
28	5.4097619813	
29	5.6137232975	
30	5.8179709515	
31	6.0224719013	
32	6.2271948497	
33	6.4321102134	
34	6.6371900931	
35	6.842408243	
36	7.0477400408	
37	7.2531624583	
38	7.4586540313	
39	7.6641948305	
40	7.869766432	
41	8.0753518886	
42	8.2809357004	
43	8.4865037869	
44	8.6920434575	
45	8.8975433841	
46	9.1029935724	
47	9.3083853342	
48	9.5137112596	
49	9.7189651893	
50	9.9241421875	
51	10.129238514	
52	10.334251599	
53	10.539180014	
54	10.744023445	
55	10.948782669	
56	11.153459526	
57	11.358056891	
58	11.562578652	
59	11.76702968	
60	11.971415808	
61	12.175743801	
62	12.380021334	
63	12.584256968	
64	12.78846012	
65	12.992641044	
66	13.196810803	
67	13.400981248	
68	13.605164991	
69	13.809375381	
70	14.013626484	
71	14.217933054	
72	14.422310514	
73	14.626774934	
74	14.831343002	
75	15.036032007	
76	15.240859813	
77	15.445844838	
78	15.651006034	
79	15.85636286	
80	16.061935264	
81	16.26774366	
82	16.473808908	
83	16.680152289	
84	16.886795489	
85	17.093760574	
86	17.301069972	
87	17.50874645	
88	17.716813095	
89	17.925293296	
90	18.134210719	
91	18.343589292	
92	18.553453183	
93	18.763826779	
94	18.974734672	
95	19.186201636	
96	19.398252606	
97	19.610912666	
98	19.824207025	
99	20.038161	
100	20.2528	
101	20.468149504	
102	20.684235048	
103	20.901082203	
104	21.118716561	
105	21.337163716	
106	21.556449248	
107	21.776598706	
108	21.997637589	
109	22.219591334	
110	22.442485295	
111	22.666344733	
112	22.891194791	
113	23.117060489	
114	23.343966699	
115	23.571938136	
116	23.80099934	
117	24.031174662	
118	24.262488249	
119	24.494964029	
120	24.728625696	
121	24.963496698	
122	25.199600221	
123	25.436959177	
124	25.675596186	
125	25.915533569	
126	26.15679333	
127	26.399397144	
128	26.643366344	
129	26.888721909	
130	27.135484451	
131	27.383674204	
132	27.633311007	
133	27.884414298	
134	28.1370031	
135	28.391096007	
136	28.646711176	
137	28.903866314	
138	29.162578667	
139	29.422865009	
140	29.684741632	
141	29.948224336	
142	30.213328416	
143	30.480068655	
144	30.748459312	
145	31.018514114	
146	31.290246243	
147	31.563668331	
148	31.838792448	
149	32.115630093	
150	32.394192187	
151	32.674489063	
152	32.956530457	
153	33.2403255	
154	33.525882712	
155	33.81320999	
156	34.102314604	
157	34.393203188	
158	34.685881733	
159	34.980355579	
160	35.276629408	
161	35.574707239	
162	35.874592419	
163	36.176287618	
164	36.479794823	
165	36.785115329	
166	37.09224974	
167	37.401197954	
168	37.711959165	
169	38.024531853	
170	38.338913783	
171	38.655101997	
172	38.973092809	
173	39.292881803	
174	39.614463825	
175	39.937832983	
176	40.262982641	
177	40.589905412	
178	40.918593161	
179	41.249036995	
180	41.581227264	
181	41.915153557	
182	42.250804697	
183	42.588168741	
184	42.927232976	
185	43.267983916	
186	43.610407303	
187	43.954488101	
188	44.300210495	
189	44.647557893	
190	44.996512919	
191	45.347057419	
192	45.69917245	
193	46.05283829	
194	46.408034427	
195	46.764739568	
196	47.122931633	
197	47.482587753	
198	47.843684277	
199	48.206196767	
200	48.5701	
201	48.935367967	
202	49.301973878	
203	49.669890157	
204	50.039088448	
205	50.409539615	
206	50.781213742	
207	51.154080138	
208	51.528107334	
209	51.90326309	
210	52.279514395	
211	52.65682747	
212	53.035167768	
213	53.414499981	
214	53.794788041	
215	54.175995125	
216	54.558083653	
217	54.941015298	
218	55.324750987	
219	55.709250904	
220	56.094474496	
221	56.480380476	
222	56.866926828	
223	57.254070812	
224	57.641768969	
225	58.029977124	
226	58.418650394	
227	58.807743193	
228	59.197209234	
229	59.587001542	
230	59.977072452	
231	60.367373619	
232	60.757856028	
233	61.148469992	
234	61.539165167	
235	61.929890552	
236	62.320594503	
237	62.711224735	
238	63.10172833	
239	63.492051748	
240	63.882140832	
241	64.271940816	
242	64.661396336	
243	65.050451433	
244	65.439049567	
245	65.827133625	
246	66.214645925	
247	66.601528233	
248	66.987721764	
249	67.373167198	
250	67.757804687	
251	68.141573866	
252	68.524413859	
253	68.906263296	
254	69.287060319	
255	69.666742591	
256	70.045247313	
257	70.42251123	
258	70.798470642	
259	71.173061418	
260	71.546219008	
261	71.91787845	
262	72.287974387	
263	72.656441077	
264	73.023212405	
265	73.388221897	
266	73.751402729	
267	74.112687745	
268	74.472009466	
269	74.829300106	
270	75.184491583	
271	75.537515534	
272	75.888303328	
273	76.236786081	
274	76.582894668	
275	76.926559741	
276	77.267711741	
277	77.606280911	
278	77.942197315	
279	78.275390851	
280	78.605791264	
281	78.933328167	
282	79.25793105	
283	79.579529302	
284	79.898052223	
285	80.21342904	
286	80.525588926	
287	80.834461016	
288	81.139974422	
289	81.44205825	
290	81.740641619	
291	82.035653678	
292	82.327023622	
293	82.614680709	
294	82.898554282	
295	83.178573783	
296	83.454668771	
297	83.726768945	
298	83.994804157	
299	84.258704435	
300	84.5184	
301	84.773821284	
302	85.024898952	
303	85.27156392	
304	85.513747374	
305	85.751380794	
306	85.984395968	
307	86.212725015	
308	86.436300407	
309	86.655054988	
310	86.868921996	
311	87.07783508	
312	87.281728328	
313	87.480536282	
314	87.674193964	
315	87.862636895	
316	88.045801118	
317	88.223623219	
318	88.396040353	
319	88.56299026	
320	88.724411296	
321	88.880242447	
322	89.030423359	
323	89.174894357	
324	89.313596472	
325	89.44647146	
326	89.57346183	
327	89.694510867	
328	89.809562653	
329	89.918562096	
330	90.021454952	
