ID	Name	CN Name	Decribe	CN Describe	Icon Path	AtlasPath	SpineSlots	Part	WeaponType
1	weapon 1	武器1	weapon 1	武器1	f_wuqi_1_3	equip/fashi/wuqi01/f_wuqi_1_3/skeleton_Atlas	wuqi	0	2
2	weapon 2	武器2	weapon 2	武器2	f_wuqi_1_5	equip/fashi/wuqi01/f_wuqi_1_5/skeleton_Atlas	wuqi	0	2
3	weapon 3	武器3	weapon 3	武器3	f_wuqi_1_6	equip/fashi/wuqi01/f_wuqi_1_6/skeleton_Atlas	wuqi	0	2
4	weapon 4	武器4	weapon 4	武器4	f_wuqi_1_7	equip/fashi/wuqi01/f_wuqi_1_7/skeleton_Atlas	wuqi	0	2
5	weapon 5	武器5	weapon 5	武器5	f_wuqi_1_9	equip/fashi/wuqi01/f_wuqi_1_9/skeleton_Atlas	wuqi	0	2
6	weapon 6	武器6	weapon 6	武器6	f_wuqi_1_10	equip/fashi/wuqi01/f_wuqi_1_10/skeleton_Atlas	wuqi	0	2
7	weapon 7	武器7	weapon 7	武器7	f_wuqi_1_12	equip/fashi/wuqi01/f_wuqi_1_12/skeleton_Atlas	wuqi	0	2
8	weapon 8	武器8	weapon 8	武器8	f_wuqi_1_13	equip/fashi/wuqi01/f_wuqi_1_13/skeleton_Atlas	wuqi	0	2
9	weapon 9	武器9	weapon 9	武器9	f_wuqi_1_14	equip/fashi/wuqi01/f_wuqi_1_14/skeleton_Atlas	wuqi	0	2
10	weapon 10	武器10	weapon 10	武器10	f_wuqi_1_15	equip/fashi/wuqi01/f_wuqi_1_15/skeleton_Atlas	wuqi	0	2
11	weapon 11	武器11	weapon 11	武器11	f_wuqi_1_16	equip/fashi/wuqi01/f_wuqi_1_16/skeleton_Atlas	wuqi	0	2
12	weapon 12	武器12	weapon 12	武器12	f_wuqi_1_17	equip/fashi/wuqi01/f_wuqi_1_17/skeleton_Atlas	wuqi	0	2
13	weapon 13	武器13	weapon 13	武器13	f_wuqi_1_18	equip/fashi/wuqi01/f_wuqi_1_18/skeleton_Atlas	wuqi	0	2
14	weapon 14	武器14	weapon 14	武器14	f_wuqi_1_20	equip/fashi/wuqi01/f_wuqi_1_20/skeleton_Atlas	wuqi	0	2
15	weapon 15	武器15	weapon 15	武器15	f_wuqi_1_25	equip/fashi/wuqi01/f_wuqi_1_25/skeleton_Atlas	wuqi	0	2
16	weapon 16	武器16	weapon 16	武器16	f_wuqi_1_30	equip/fashi/wuqi01/f_wuqi_1_30/skeleton_Atlas	wuqi	0	2
17	weapon 17	武器17	weapon 17	武器17	f_wuqi_1_35	equip/fashi/wuqi01/f_wuqi_1_35/skeleton_Atlas	wuqi	0	2
18	weapon 18	武器18	weapon 18	武器18	f_wuqi_1_40	equip/fashi/wuqi01/f_wuqi_1_40/skeleton_Atlas	wuqi	0	2
19	weapon 19	武器19	weapon 19	武器19	g_wuqi_1_3	equip/gongjian/wuqi01/g_wuqi_1_3/skeleton_Atlas	wuqi	0	3
20	weapon 20	武器20	weapon 20	武器20	g_wuqi_1_5	equip/gongjian/wuqi01/g_wuqi_1_5/skeleton_Atlas	wuqi	0	3
